"","coefficient","sd","obs.p","corrected.p","p.BH"
"ENSG00000003509",-0.127991425357069,0.0284530026463082,2.8961852617303e-05,6.64407680552787e-05,0.00664407680552787
"ENSG00000000457",-0.152260960364319,0.0361527077956498,7.85025677263639e-05,0.000205966380971364,0.0102983190485682
"ENSG00000000460",-0.180732906104679,0.0465060694650524,0.00024426790659149,0.000597966912497508,0.0173695150773086
"ENSG00000005175",-0.138409363430424,0.0364824434811852,0.000324455685923182,0.000764068832635705,0.0173695150773086
"ENSG00000004864",-0.243675996877866,0.065206158154712,0.000391194430455373,0.000976679290412597,0.0173695150773086
"ENSG00000001561",-0.224694690517403,0.0601987589617267,0.000405109458897563,0.0010497641352734,0.0173695150773086
"ENSG00000004799",0.516941512983601,0.140455726658602,0.000474998225934307,0.0012158660554116,0.0173695150773086
"ENSG00000005812",-0.140558481362746,0.0394312292048729,0.000689092851470741,0.00180054481429805,0.0225068101787257
"ENSG00000003056",-0.151853256243169,0.043749516416105,0.000926541518520799,0.00239851172679556,0.0255494953521663
"ENSG00000004897",-0.15291980872154,0.0443743523869244,0.00100146273820984,0.00259118995415587,0.0255494953521663
"ENSG00000003989",0.397396637186223,0.116387993119646,0.00109725594118194,0.00281044448873829,0.0255494953521663
"ENSG00000000419",-0.18514551181798,0.0565464682908737,0.00170021010759575,0.00421234469470467,0.0351028724558723
"ENSG00000005007",0.259403054886995,0.0797881890412128,0.00182318516264738,0.00457112484220318,0.0351624987861783
"ENSG00000000938",0.446911525946704,0.141757388088798,0.00244831872311208,0.00609261843066906,0.0435187030762076
"ENSG00000004766",-0.134091708884562,0.0435239147137844,0.00304130825198774,0.00733506079330277,0.0487924390405953
"ENSG00000002745",-0.823793877789082,0.269912882265227,0.00328981445217441,0.00780679024649525,0.0487924390405953
"ENSG00000005448",-0.2421324236931,0.0858641760739088,0.00666610915940361,0.0145106637432729,0.085356845548664
"ENSG00000003987",-0.139464543703603,0.050416974970611,0.00737553246529162,0.0158129027971563,0.0878494599842018
"ENSG00000004700",-0.128298601940259,0.0473291186216654,0.00857658371146528,0.0179323632981197,0.094380859463788
"ENSG00000005108",-0.122019392556906,0.0466330659974913,0.0110683560859811,0.0222842336057405,0.111421168028702
"ENSG00000002587",-0.229638368916488,0.0917979763115601,0.0148920781886622,0.0285828184173809,0.127732376586273
"ENSG00000005100",0.143763518953651,0.0578658241771417,0.01556106959165,0.0295860740150156,0.127732376586273
"ENSG00000005981",0.234628174329632,0.0950386257781252,0.0162386922182043,0.0305893296126503,0.127732376586273
"ENSG00000004961",-0.127740680040038,0.051801702838891,0.0163125818154065,0.0306557703807056,0.127732376586273
"ENSG00000001629",-0.0612806470925586,0.0251545962279552,0.017550692327867,0.0326024848847253,0.130409939538901
"ENSG00000006007",-0.108143711260462,0.0455990911501876,0.0206823030018501,0.037419440568733,0.139430697533149
"ENSG00000005339",0.239845956312025,0.101764181885223,0.0215006241052577,0.0387150355458109,0.139430697533149
"ENSG00000002834",0.090995467212987,0.0387035748047445,0.0217617810098709,0.0390405953092818,0.139430697533149
"ENSG00000003147",-0.101722503955724,0.0442539696145502,0.0247519705904633,0.0433393130024583,0.149445906905029
"ENSG00000004487",-0.0534293452492777,0.0239381037983422,0.0291242632723935,0.0497574911965982,0.165858303988661
"ENSG00000003402",0.13516670871068,0.0611515029743827,0.0306064565938962,0.0516576971629792,0.166637732783804
"ENSG00000005436",-0.0984419736626573,0.046380410245742,0.0375527176426549,0.0603813700086373,0.188691781276992
"ENSG00000003096",-0.162129980529362,0.0775117187392463,0.0403782880245612,0.0637299847186233,0.19312116581401
"ENSG00000005249",-0.170708765847113,0.083674795009778,0.0454029278482396,0.0701813832967909,0.206415833225856
"ENSG00000006016",-0.447353429022116,0.221308375105525,0.0472966096040769,0.0725068101787257,0.207162314796359
"ENSG00000005020",-0.169300077293902,0.0849032914981702,0.0504126893931771,0.0758487808119062,0.210691057810851
"ENSG00000004534",-0.0882024004127031,0.0457640794570598,0.0583797089404132,0.0849511660354794,0.229597746041836
"ENSG00000003137",0.217127387933137,0.116332138809791,0.0664913756998798,0.0942063650255797,0.24791148690942
"ENSG00000001084",-0.0657253927742688,0.0369985890071645,0.0803418284306495,0.109082452993157,0.27969859741835
"ENSG00000000971",0.1921512995639,0.114786696206987,0.0990143011755017,0.128915022257657,0.316690693502556
"ENSG00000005801",-0.0557002424310225,0.0335713867338016,0.101829002650308,0.13183841605209,0.316690693502556
"ENSG00000004059",-0.106986621315699,0.0647528043432433,0.103310441455379,0.13335326556375,0.316690693502556
"ENSG00000005022",-0.0784517755260984,0.0477491967017311,0.106089204180045,0.136176998206099,0.316690693502556
"ENSG00000001617",0.158819560698793,0.100495402801954,0.118877347277488,0.149239253205767,0.339180120922198
"ENSG00000005893",-0.113657024352059,0.0730755267443028,0.124648515458878,0.155066108564215,0.344591352364922
"ENSG00000004399",0.157990317010739,0.103268948569595,0.130895962676388,0.161510863065577,0.351110571881689
"ENSG00000003393",-0.0387027548401453,0.0263451511043888,0.146638424451748,0.177184240249817,0.376987745212377
"ENSG00000002919",-0.0647986143206966,0.0448461399249398,0.154156850468903,0.184858148960202,0.385121143667087
"ENSG00000003436",-0.150210773166866,0.111825060580576,0.18378670736824,0.214616968972161,0.437993814228901
"ENSG00000005243",0.141273568558468,0.107626169845202,0.193853226001465,0.224151219188094,0.448302438376188
"ENSG00000004779",-0.105957128326065,0.0834650659931475,0.208796835361608,0.239339578765531,0.464101541936902
"ENSG00000005379",0.0896566340425621,0.0709333621601152,0.210759967966652,0.241332801807189,0.464101541936902
"ENSG00000004660",-0.0718596980364079,0.0578546128320851,0.219479676438714,0.249990033884792,0.471679309216588
"ENSG00000005059",-0.125547116848773,0.104413370518859,0.233568785977568,0.263610391336124,0.488167391363192
"ENSG00000004777",0.172508040469454,0.146553313057537,0.243447604811917,0.273284167164972,0.496880303936314
"ENSG00000005483",0.0419429479288588,0.0362459077827776,0.252200903845212,0.28193475516577,0.503454919938874
"ENSG00000006042",-0.106742013349137,0.0952863465073271,0.26667840517057,0.296604876752375,0.520359432898904
"ENSG00000002746",0.0429729093689615,0.041019279434235,0.298690423406932,0.328091156733772,0.565674408161675
"ENSG00000005889",-0.0256804589401046,0.0255321747775907,0.318295801948672,0.346634775098,0.570876225135614
"ENSG00000001626",-0.0671396078118367,0.0670538444273597,0.320404931730624,0.34852169291077,0.570876225135614
"ENSG00000002933",0.100359712575493,0.100245176918059,0.320470389806083,0.348588133678825,0.570876225135614
"ENSG00000005075",-0.0533750552186894,0.0538603703798461,0.326030655947353,0.353943259584081,0.570876225135614
"ENSG00000003756",-0.0349417575297543,0.0359770503440758,0.335093379564301,0.362926051425154,0.571380383618773
"ENSG00000001460",-0.0510071180349335,0.0531251066320909,0.340493066811134,0.368121719487077,0.571380383618773
"ENSG00000004139",0.0661313037187503,0.0693193948084448,0.343668750161983,0.371397249352203,0.571380383618773
"ENSG00000005189",-0.0652988637007898,0.0729003353117927,0.373703361992312,0.4001195933825,0.606241808155302
"ENSG00000004838",-0.181848584849261,0.206406525381542,0.381503310124328,0.408218723008438,0.609281676131997
"ENSG00000004866",0.0239450634365526,0.0285161248092481,0.404153107125435,0.429612650322238,0.631783309297408
"ENSG00000001036",-0.0599137364829221,0.0724225815042386,0.411059670510332,0.43599760813235,0.631880591496159
"ENSG00000005810",-0.0301966852412891,0.037161473499181,0.419424886206387,0.444256195601621,0.634651708002316
"ENSG00000002016",0.0485999352854466,0.0690086986398237,0.483826828042049,0.505667397515115,0.706219857052232
"ENSG00000001461",-0.0302961629417471,0.0440120911934337,0.493713764181368,0.514995681350076,0.706219857052232
"ENSG00000006025",0.0592021783183818,0.0861155364326602,0.494268100119839,0.51554049564813,0.706219857052232
"ENSG00000004142",-0.0203739081171037,0.0310057830316417,0.513401422121717,0.534608996079995,0.72244458929729
"ENSG00000005486",0.0419447296194608,0.0667918591627116,0.532209684793726,0.553325360441167,0.729038811899192
"ENSG00000001497",-0.0356152307881106,0.0568266487338629,0.533028298327477,0.554069497043386,0.729038811899192
"ENSG00000002586",0.0570111290298922,0.107449858686885,0.597543728800153,0.61623812371271,0.800309251574948
"ENSG00000003249",-0.0386473698235821,0.0745914410372642,0.60613324658408,0.624304032954621,0.800389785839258
"ENSG00000004455",0.0158486772355639,0.0321467903241288,0.62366725376957,0.641233140655106,0.81168751981659
"ENSG00000004478",0.0337993439186503,0.0703929722357673,0.632731087458258,0.649617965583682,0.812022456979603
"ENSG00000005469",-0.0245138653009739,0.0527646075338472,0.64377817268353,0.660248488472527,0.815121590706823
"ENSG00000002330",0.0285930937401381,0.067034437456516,0.671376908217962,0.686353066241446,0.828260220471281
"ENSG00000005302",-0.012803065846152,0.0301543183007816,0.672520277297075,0.687455982991163,0.828260220471281
"ENSG00000005513",0.0332086794714929,0.0855362852555499,0.699087309534075,0.713068899076473,0.843453825620342
"ENSG00000005238",0.0188119339602582,0.0491427472391789,0.703096789217376,0.716935751777291,0.843453825620342
"ENSG00000005156",0.0122971402549758,0.0348242280886382,0.72515874198865,0.738429340243173,0.845134119750424
"ENSG00000004468",0.0447635686418092,0.128615844813903,0.728934145633868,0.742209819945519,0.845134119750424
"ENSG00000001167",-0.0102804587070602,0.0297086313271489,0.730428113468889,0.743718025380373,0.845134119750424
"ENSG00000005194",-0.0142022138555871,0.0472394737363442,0.76464632326228,0.775928509733573,0.871829786217497
"ENSG00000004975",0.0198046596576045,0.0755692145036842,0.794106752264398,0.804704006378314,0.883712224315464
"ENSG00000003400",-0.0247294984018164,0.0988565192032883,0.803244160856246,0.813208424689389,0.883712224315464
"ENSG00000006015",-0.0167167486104311,0.0686443389958867,0.808352541931119,0.818344296060062,0.883712224315464
"ENSG00000000003",0.0268538233578058,0.112278238202818,0.811713283179366,0.821852368613381,0.883712224315464
"ENSG00000005206",-0.0182828400135477,0.0948093246676297,0.847696488616618,0.856102584545877,0.910747430367955
"ENSG00000004848",-0.00753134587440959,0.068670209658975,0.913005717277701,0.918324363829646,0.966657225083838
"ENSG00000005884",0.00599735573620773,0.0670059767178419,0.928955970068656,0.933452926715833,0.968439265260999
"ENSG00000005882",0.00436503832478501,0.0534864002397963,0.935211342827709,0.939386087303169,0.968439265260999
"ENSG00000002549",0.0037303973968148,0.0562147100554915,0.947295057644868,0.950833831639094,0.970238603713361
"ENSG00000001631",-0.00153365168844298,0.0334884008790882,0.963615045409107,0.965962394525281,0.975719590429577
"ENSG00000001630",-0.00224659244829428,0.0975120494230431,0.981689645008928,0.98319712975882,0.98319712975882
